id,marca,modelo,versao,descricao,tipo,categoria,segmento,ano_fabricacao,ano_modelo,portas,preco,dt_cadastro
494537,Chevrolet,Celta,Celta LT 1.0 (Flex),"Único Dono, o mais novo da região.

Visando mais segurança para sua compra todos os nossos automóveis possuem garantia de três meses ou 3.000km de motor e caixa.

Maiores Informações: (21)2628-0950 / (21)3712-8982

Venha fazer um bom negócio na Bv Veículo!!

Estamos localizados nos endereços abaixo:
Lj1: R. Jovelino de Oliveira Viana, 138 Centro de Alcântara/SG
Lj2: R. Comandante Ari Parreiras, 101 Porto Velho/SG",USADOS,AUTOMOVEL,\0,2014,2015,5,30900,2021-07-23 18:03:59
494536,Renault,Kwid,Kwid 1.0 Zen,"Veículo de Não-Fumante
IPVA Pago
Baixa KM
Pneus Novos
Nenhuma Batida
Parece Novo
Vários Opcionais
Licenciado",SEMINOVOS,AUTOMOVEL,\0,2019,2020,5,42900,2021-07-23 18:02:49
494535,Renault,Sandero,Sandero Authentique 1.0 12V SCe (Flex),"Veículo de Não-Fumante
Único Dono
Pneus Novos
IPVA Pago
Parece Novo
Revisões Realizadas
Garantia de Fábrica
Vários Opcionais
Licenciado
Revisões Realizadas",SEMINOVOS,AUTOMOVEL,\0,2019,2020,4,42900,2021-07-23 18:00:18
494534,Honda,Civic,New Civic LXR 2.0 i-VTEC (Aut) (Flex),\0,USADOS,AUTOMOVEL,\0,2013,2014,4,65900,2021-07-23 17:52:47
494533,BMW,X1,X1 2.0 sDrive20i (Aut),"Veículo de Não-Fumante
IPVA Pago
Pneus Novos
Parece Novo
Nenhuma Batida
Vários Opcionais
Licenciado",USADOS,AUTOMOVEL,\0,2013,2014,5,85900,2021-07-23 17:46:33
494532,Volkswagen,Virtus,Virtus 200 TSI Highline (Flex) (Aut),,SEMINOVOS,AUTOMOVEL,SEDAN,2018,2019,4,94500,2021-07-23 17:16:57
494531,Mitsubishi,L200 Triton,L200 Triton Sport 2.4 DID-H HPE 4WD (Aut),,SEMINOVOS,AUTOMOVEL,PICAPE,2018,2019,,189990,2021-07-23 17:16:37
494530,Toyota,Hilux Cabine Simples,Hilux 2.8 TDI STD CS 4x4,,USADOS,AUTOMOVEL,PICAPE,2016,2017,,144900,2021-07-23 17:13:20
494529,Nissan,March,March 1.6 16V SL (Flex),,SEMINOVOS,AUTOMOVEL,HATCH,2015,2015,4,42900,2021-07-23 17:10:30
494528,Ford,Ecosport,EcoSport Freestyle 1.5 (Flex),,SEMINOVOS,AUTOMOVEL,SUV,2017,2018,4,76900,2021-07-23 17:07:58
494527,Volkswagen,Voyage,Voyage 1.6 MSI (Flex),EXCERCIO 2021 PAGO.,SEMINOVOS,AUTOMOVEL,SEDAN,2019,2020,4,63500,2021-07-23 17:05:50
494526,Volkswagen,Virtus,Virtus 1.6 MSI (Flex),,SEMINOVOS,AUTOMOVEL,SEDAN,2019,2020,4,73500,2021-07-23 17:03:53
494525,Honda,CB 500,Cb 500X (ABS),,SEMINOVOS,MOTO,TRAIL,2014,2015,,28990,2021-07-23 17:03:05
494524,Volkswagen,Virtus,Virtus 1.6 (Aut),EXCERCIO 2021 PAGO.,SEMINOVOS,AUTOMOVEL,SEDAN,2021,2021,4,89900,2021-07-23 17:01:58
494523,Volkswagen,Tiguan,Tiguan Allspace 2.0 350 TSI R-Line 4WD,"7 LUGARES .
TETO SOLAR PANORÂMICO.
GARANTIA DE FÁBRICA ATE 12/2022.",SEMINOVOS,AUTOMOVEL,SUV,2019,2019,4,224000,2021-07-23 16:59:45
494522,Honda,BIZ 125,Biz 125 Flexone,,SEMINOVOS,MOTO,\0,2018,2019,,13500,2021-07-23 16:57:34
494521,Volkswagen,Polo,1.0 200 TSI HIGHLINE AUTOMÁTICO,,SEMINOVOS,AUTOMOVEL,HATCH,2017,2018,4,82900,2021-07-23 16:56:57
494519,Fiat,Palio,Palio Attractive 1.0 8V (Flex),"RTG MOTORS CERTEZA DE BONS NEGÓCIOS!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!

-Laudo cautelar 100% aprovado
- Aceitamos seu usado como parte de pagamento
- Financiamos com e sem entrada.
- Taxas à partir de 0,99% a.m em até 60x
- Compre na segurança de um shopping
Estamos localizados na av dos autonomistas 900 no Auto Shopping Autonomistas, venha nos fazer uma visita e confira nossas ofertas",USADOS,AUTOMOVEL,\0,2012,2013,4,32900,2021-07-23 17:18:06
494518,Nissan,Sentra,Sentra S 2.0 16V,"NISSAN SENTRA 2.0, carro super novo, COMPLETO, ar condicionado, vidros, travas e retrovisores elétricos, airbags, impecável! Venha pra Giva Car, o melhor negocio está aqui! Aceitamos seu usado como parte de pagamento, financiamos e parcelamos a entrada no cartão de credito. Venha conhecer nossa loja! Avenida Barão de Monte Alegre, 129, Bonfim, em campinas. Reservamos o direito o direito de corrigir erros de digitação. Telefone e WhatsApp (19)33956875.",USADOS,AUTOMOVEL,\0,2007,2008,4,26990,2021-07-23 17:03:41
494515,Chevrolet,Tracker,Tracker Premier 1.4 16V Ecotec (Flex) (Aut),"Teto solar manual e chave reserva
Whats 11-947941716
Veículo de Não-Fumante
IPVA Pago
Baixa KM
Pneus Novos
Nenhuma Batida
Parece Novo
Vários Opcionais
Licenciado",SEMINOVOS,AUTOMOVEL,\0,2018,2018,5,95900,2021-07-23 17:47:49
494514,Peugeot,3008,3008 1.6 THP Griffe (Aut),"teto panoramico Outros opcionais: Retrovisor fotocrômico, Controle de estabilidade, Pára-choques na cor do veículo Informações complementares: Licenciado",USADOS,AUTOMOVEL,\0,2014,2015,4,62800,2021-07-23 16:06:56
494513,Ford,Ka,Ka Hatch SE 1.5 16v (Flex),"completo Outros opcionais: Encosto de cabeça traseiro, Banco bi-partido, Pára-choques na cor do veículo Informações complementares: Licenciado",USADOS,AUTOMOVEL,\0,2015,2015,4,38800,2021-07-23 16:06:52
494512,Toyota,RAV4,RAV4 4x4 2.4 16V (aut),"completo Outros opcionais: Comando de áudio e telefone no volante, Pára-choques na cor do veículo Informações complementares: Licenciado",USADOS,AUTOMOVEL,\0,2010,2011,4,55800,2021-07-23 16:06:49
494511,Fiat,Doblò,Doblò Essence 1.8 16V (Flex),Informações complementares: Licenciado,USADOS,AUTOMOVEL,\0,2011,2012,4,42800,2021-07-23 16:06:45
494510,Fiat,Palio,Palio Fire Way 1.0 8V (Flex),"laudo cautelar nao conforme 
painel dianteiro e e coluna Outros opcionais: Pára-choques na cor do veículo Informações complementares: Licenciado",USADOS,AUTOMOVEL,\0,2015,2015,4,32800,2021-07-23 16:06:40
494509,Chevrolet,Cobalt,Cobalt LTZ 1.4 8V (Flex),aprovado com apontamento  paine traseiro  Outros opcionais: Pára-choques na cor do veículo Informações complementares: Licenciado,USADOS,AUTOMOVEL,\0,2012,2012,4,34800,2021-07-23 16:06:39
494508,Fiat,Strada,Strada Adventure Locker 1.8 16V (Cabine Estendida),passagem leilao financeira  Informações complementares: Licenciado,USADOS,AUTOMOVEL,\0,2010,2011,2,38800,2021-07-23 16:06:37
494507,Fiat,Idea,Idea Adventure 1.8 16V E.TorQ (Flex),"BONITA Outros opcionais: Banco bi-partido, Pára-choques na cor do veículo Informações complementares: Licenciado",USADOS,AUTOMOVEL,\0,2013,2014,4,42800,2021-07-23 16:06:36
494506,Volkswagen,Tiguan,Tiguan 2.0 TSI 4WD,"completa  Outros opcionais: Comando de áudio e telefone no volante, Banco bi-partido, Controle de estabilidade, Pára-choques na cor do veículo Informações complementares: Licenciado",USADOS,AUTOMOVEL,\0,2013,2013,4,67800,2021-07-23 16:06:34
494505,Chevrolet,Spin,Spin LTZ 7S 1.8 (Aut) (Flex),"nova Outros opcionais: Comando de áudio e telefone no volante, Pára-choques na cor do veículo Informações complementares: Licenciado",USADOS,AUTOMOVEL,\0,2016,2016,4,58800,2021-07-23 16:06:31
494504,Fiat,Siena,Siena Essence 1.6 16V (Flex),"completo Outros opcionais: Banco bi-partido, Pára-choques na cor do veículo Informações complementares: Licenciado",USADOS,AUTOMOVEL,\0,2012,2013,4,37800,2021-07-23 16:06:29
494503,Ford,KA SEDAN,Ka Sedan SE 1.5 16v (Flex),"COMPLETO SEDAN  Outros opcionais: Banco bi-partido, Controle de estabilidade, Pára-choques na cor do veículo Informações complementares: Licenciado",USADOS,AUTOMOVEL,\0,2015,2016,4,43800,2021-07-23 16:06:28
494502,Chevrolet,Cruze,Cruze LT 1.8 16V Ecotec (Aut)(Flex),"completo Outros opcionais: Retrovisor fotocrômico, Comando de áudio e telefone no volante, Controle de estabilidade, Pára-choques na cor do veículo Informações complementares: Licenciado",USADOS,AUTOMOVEL,\0,2013,2014,4,57800,2021-07-23 16:06:27
494500,Ford,New Fiesta Hatch,New Fiesta S 1.5 16V,"COMPLETO  Outros opcionais: Banco bi-partido, Pára-choques na cor do veículo Informações complementares: Licenciado",USADOS,AUTOMOVEL,\0,2013,2014,4,39800,2021-07-23 16:06:25
494499,Volkswagen,Golf,Golf Sportline 2.0 (Aut) (Flex),COMPLETO Outros opcionais: Pára-choques na cor do veículo Informações complementares: Licenciado,USADOS,AUTOMOVEL,\0,2013,2014,4,55800,2021-07-23 16:06:24
494498,Hyundai,i30,i30 GLS 2.0 16V (aut),"COMPLETO E AUTOMATICO Outros opcionais: Comando de áudio e telefone no volante, Pára-choques na cor do veículo Informações complementares: Licenciado",USADOS,AUTOMOVEL,\0,2010,2011,4,39800,2021-07-23 16:06:24
494497,Chevrolet,Onix,Onix 1.4 LT SPE/4,LAUDO CAUTELAR APROVADO C OBS PAINEL TRASEIRO Outros opcionais: Pára-choques na cor do veículo Informações complementares: Licenciado,USADOS,AUTOMOVEL,\0,2013,2013,4,36800,2021-07-23 16:06:23
494496,Honda,Fit,Fit LX 1.4 (flex) (aut),COMPLETO  Outros opcionais: Pára-choques na cor do veículo Informações complementares: Licenciado,USADOS,AUTOMOVEL,\0,2014,2014,4,49800,2021-07-23 16:06:22
494495,Fiat,Uno,Uno Drive 1.0 Firefly (Flex),COMPLETO Outros opcionais: Pára-choques na cor do veículo Informações complementares: Licenciado,SEMINOVOS,AUTOMOVEL,\0,2017,2018,4,38800,2021-07-23 16:06:22
494494,Honda,Fit,Fit 1.5 16v LX CVT (Flex),"NOVO Outros opcionais: Encosto de cabeça traseiro, Comando de áudio e telefone no volante, Banco bi-partido, Controle de estabilidade, Pára-choques na cor do veículo Informações complementares: Licenciado",SEMINOVOS,AUTOMOVEL,\0,2018,2018,4,73800,2021-07-23 16:06:21
494493,Renault,Sandero,Sandero Dynamique 1.6 8V Easy-r (Flex),"automatico Outros opcionais: Comando de áudio e telefone no volante, Banco bi-partido, Pára-choques na cor do veículo Informações complementares: Licenciado",USADOS,AUTOMOVEL,\0,2015,2015,4,39800,2021-07-23 16:06:20
494492,Volkswagen,Gol,Gol 1.0 TEC City (Flex) 4p,1.0 Outros opcionais: Pára-choques na cor do veículo Informações complementares: Licenciado,USADOS,AUTOMOVEL,\0,2015,2016,4,35800,2021-07-23 16:06:19
494491,Volkswagen,Gol,Gol 1.6 VHT City (Flex) 4p,airb duplo Informações complementares: Licenciado,USADOS,AUTOMOVEL,\0,2016,2016,4,35800,2021-07-23 16:06:18
494489,Mitsubishi,ASX,ASX 2.0 16V CVT,"4x4 Outros opcionais: Encosto de cabeça traseiro, Retrovisor fotocrômico, Banco bi-partido, Controle de estabilidade, Pára-choques na cor do veículo Informações complementares: Licenciado",USADOS,AUTOMOVEL,\0,2014,2015,4,75800,2021-07-23 16:06:15
494488,Chevrolet,Prisma,Prisma Maxx 1.0 (Flex),menos ar condicionado Outros opcionais: Pára-choques na cor do veículo Informações complementares: Licenciado,USADOS,AUTOMOVEL,\0,2009,2010,4,23800,2021-07-23 16:06:14
494487,Ford,Ecosport,SE 1.5 (Flex),"nova Outros opcionais: Encosto de cabeça traseiro, Comando de áudio e telefone no volante, Banco bi-partido, Controle de estabilidade, Pára-choques na cor do veículo Informações complementares: Licenciado",SEMINOVOS,AUTOMOVEL,\0,2019,2020,4,72800,2021-07-23 16:06:13
494486,Ford,Ecosport,Ecosport XLT 2.0 16V (Flex) (Aut),"laudo nao conforme
painel dianteiro e coluna Outros opcionais: Encosto de cabeça traseiro, Banco bi-partido, Pára-choques na cor do veículo Informações complementares: Licenciado",USADOS,AUTOMOVEL,\0,2012,2012,4,33800,2021-07-23 16:06:12
494485,Mitsubishi,Lancer,Lancer 2.0 16V GT CVT,"teto Outros opcionais: Encosto de cabeça traseiro, Farol xenônio, Retrovisor fotocrômico, Banco bi-partido, Controle de estabilidade, Pára-choques na cor do veículo Informações complementares: Licenciado",USADOS,AUTOMOVEL,\0,2015,2016,4,61800,2021-07-23 16:06:12
494484,Fiat,Idea,Idea Adventure 1.8 16V E.TorQ (Flex),"VERDE Outros opcionais: Banco bi-partido, Pára-choques na cor do veículo Informações complementares: Licenciado",USADOS,AUTOMOVEL,\0,2014,2014,4,39800,2021-07-23 16:06:11
494483,Volkswagen,Polo,Polo Hatch. Next 1.6 8V,COMPLETO Informações complementares: Licenciado,USADOS,AUTOMOVEL,\0,2002,2003,4,22800,2021-07-23 16:06:10
494482,Ford,Focus,Focus Hatch S 1.6 16V TiVCT,"completo Outros opcionais: Encosto de cabeça traseiro, Banco bi-partido, Controle de estabilidade, Pára-choques na cor do veículo Informações complementares: Licenciado",USADOS,AUTOMOVEL,\0,2014,2015,4,49800,2021-07-23 16:06:09
494481,Renault,Sandero Stepway,Sandero Stepway 1.6 8V Easy-r (Flex),"novo Outros opcionais: Comando de áudio e telefone no volante, Banco bi-partido, Pára-choques na cor do veículo Informações complementares: Licenciado",USADOS,AUTOMOVEL,\0,2015,2016,4,44800,2021-07-23 16:06:09
494480,Ford,Ka,Ka 1.0 SE (Flex),"Outros opcionais: Encosto de cabeça traseiro, Pára-choques na cor do veículo Informações complementares: Licenciado",SEMINOVOS,AUTOMOVEL,\0,2017,2018,4,44800,2021-07-23 16:06:08
494479,Chevrolet,Captiva,Captiva Sport 3.6 V6 4x2,BONITO Outros opcionais: Controle de estabilidade Informações complementares: Licenciado,USADOS,AUTOMOVEL,\0,2008,2009,4,35800,2021-07-23 16:06:07
494478,Renault,Megane Grand Tour,Mégane Grand Tour Dynamique 1.6 16V (flex),completo Outros opcionais: Pára-choques na cor do veículo Informações complementares: Licenciado,USADOS,AUTOMOVEL,\0,2012,2012,4,29800,2021-07-23 16:06:06
494477,Volkswagen,CrossFox,CrossFox 1.6 (Flex),LINDO Informações complementares: Licenciado,USADOS,AUTOMOVEL,\0,2008,2008,4,30800,2021-07-23 16:06:06
494476,Renault,Logan,Logan Expression 1.6 16V SCe (Flex),"COMPLETO Outros opcionais: Comando de áudio e telefone no volante, Pára-choques na cor do veículo Informações complementares: Licenciado",USADOS,AUTOMOVEL,\0,2016,2017,4,44800,2021-07-23 16:06:05
494475,Chevrolet,Onix,Onix 1.0 LT SPE/4,"Outros opcionais: Encosto de cabeça traseiro, Comando de áudio e telefone no volante, Pára-choques na cor do veículo Informações complementares: Licenciado",SEMINOVOS,AUTOMOVEL,\0,2019,2019,4,51800,2021-07-23 16:06:03
494474,Chevrolet,Cobalt,Cobalt LT 1.8 8V (Aut) (Flex),BONITO Outros opcionais: Pára-choques na cor do veículo Informações complementares: Licenciado,USADOS,AUTOMOVEL,\0,2013,2013,4,39800,2021-07-23 16:06:02
494473,Chevrolet,Montana,Montana LS 1.4 (Flex),Informações complementares: Licenciado,USADOS,AUTOMOVEL,\0,2013,2013,2,34800,2021-07-23 16:06:01
494472,Volkswagen,Polo Sedan,Polo Sedan Comfortline 1.6 8V I-Motion (Flex) (Aut),bom Outros opcionais: Pára-choques na cor do veículo Informações complementares: Licenciado,USADOS,AUTOMOVEL,\0,2010,2010,4,27800,2021-07-23 16:05:59
494471,BMW,X1,X1 2.0 sDrive18i Top (Aut),"nivel 3 a blindagem Outros opcionais: Encosto de cabeça traseiro, Farol xenônio, Banco bi-partido, Controle de estabilidade, Pára-choques na cor do veículo Informações complementares: Licenciado",USADOS,AUTOMOVEL,\0,2011,2012,4,69800,2021-07-23 16:05:59
494470,Chevrolet,Onix,Onix 1.0 LT SPE/4,"lt Outros opcionais: Encosto de cabeça traseiro, Comando de áudio e telefone no volante, Pára-choques na cor do veículo Informações complementares: Licenciado",SEMINOVOS,AUTOMOVEL,\0,2019,2019,4,49800,2021-07-23 16:05:58
494469,Hyundai,HB20,HB20 1.6 Comfort Plus (Aut),"bonito Outros opcionais: Encosto de cabeça traseiro, Comando de áudio e telefone no volante, Pára-choques na cor do veículo Informações complementares: Licenciado",SEMINOVOS,AUTOMOVEL,\0,2018,2018,4,55800,2021-07-23 16:05:57
494468,Ford,Ecosport,Ecosport Freestyle Powershift 1.6 (Flex),"nova Outros opcionais: Encosto de cabeça traseiro, Banco bi-partido, Controle de estabilidade, Pára-choques na cor do veículo Informações complementares: Licenciado",USADOS,AUTOMOVEL,\0,2016,2016,4,59800,2021-07-23 16:05:57
494467,Hyundai,HB20,HB20 1.0 Comfort Plus,"menos vidro eletrico Outros opcionais: Comando de áudio e telefone no volante, Pára-choques na cor do veículo Informações complementares: Licenciado",USADOS,AUTOMOVEL,\0,2015,2015,4,41800,2021-07-23 16:05:56
494466,Hyundai,HB20,HB20 1.0 Comfort Plus,"novo Outros opcionais: Comando de áudio e telefone no volante, Pára-choques na cor do veículo Informações complementares: Licenciado",USADOS,AUTOMOVEL,\0,2017,2017,4,47800,2021-07-23 16:05:55
494465,Citroen,C3,C3 GLX 1.4 8V (flex),novo Outros opcionais: Pára-choques na cor do veículo Informações complementares: Licenciado,USADOS,AUTOMOVEL,\0,2010,2011,4,25800,2021-07-23 16:05:54
494464,Hyundai,Santa Fe,Santa Fe 3.3L V6 4x4 (Aut) 5L,"blindada Outros opcionais: Comando de áudio e telefone no volante, Controle de estabilidade, Pára-choques na cor do veículo Informações complementares: Licenciado",USADOS,AUTOMOVEL,\0,2014,2014,4,97800,2021-07-23 16:05:54
494463,Nissan,March,March 1.0 12V S (Flex),"novo Outros opcionais: Encosto de cabeça traseiro, Pára-choques na cor do veículo Informações complementares: Licenciado",SEMINOVOS,AUTOMOVEL,\0,2018,2018,4,39800,2021-07-23 16:05:53
494462,Fiat,Palio Weekend,Palio Weekend HLX 1.8 8V (Flex),"Outros opcionais: Banco bi-partido, Pára-choques na cor do veículo Informações complementares: Licenciado",USADOS,AUTOMOVEL,\0,2006,2006,4,21800,2021-07-23 16:05:52
494461,Ford,Focus,Focus Hatch SE Plus 2.0 PowerShift,"LINDO Outros opcionais: Encosto de cabeça traseiro, Farol xenônio, Banco bi-partido, Controle de estabilidade, Pára-choques na cor do veículo Informações complementares: Licenciado",USADOS,AUTOMOVEL,\0,2016,2017,4,59800,2021-07-23 16:05:51
494460,Chevrolet,Celta,Celta Spirit 1.0 VHCE (Flex) 4p,LAUDO CAUTELAR NAO CONFORME PONTA DE LONGARINA E PAINEL TRASEIRO Outros opcionais: Pára-choques na cor do veículo Informações complementares: Licenciado,USADOS,AUTOMOVEL,\0,2010,2011,4,19800,2021-07-23 16:05:51
494459,Honda,Fit,Fit 1.5 LX CVT (Flex),lindo Outros opcionais: Pára-choques na cor do veículo Informações complementares: Licenciado,USADOS,AUTOMOVEL,\0,2014,2015,4,58800,2021-07-23 16:05:50
494458,Chevrolet,Onix,Onix 1.0 Joy SPE/4,"Outros opcionais: Encosto de cabeça traseiro, Pára-choques na cor do veículo Informações complementares: Licenciado",SEMINOVOS,AUTOMOVEL,\0,2017,2018,4,43800,2021-07-23 16:05:49
494457,Citroen,C4 Pallas,C4 Pallas GLX 2.0 16V,Informações complementares: Licenciado,USADOS,AUTOMOVEL,\0,2010,2010,4,24800,2021-07-23 16:05:48
494456,Ford,Focus Sedan,Focus Sedan SE Plus 2.0 PowerShift,"LINDO Outros opcionais: Encosto de cabeça traseiro, Farol xenônio, Banco bi-partido, Controle de estabilidade, Pára-choques na cor do veículo Informações complementares: Licenciado",USADOS,AUTOMOVEL,\0,2016,2016,4,57800,2021-07-23 16:05:47
494455,Volkswagen,Voyage,Voyage 1.0 TEC Trendline,novo Outros opcionais: Pára-choques na cor do veículo Informações complementares: Licenciado,USADOS,AUTOMOVEL,\0,2014,2015,4,38800,2021-07-23 16:05:46
494454,Toyota,Etios Hatch,Etios X Plus 1.5 (Flex) (Aut),"APROVADO C APONTAMENTO PAINEL TRASEIRO  Outros opcionais: Encosto de cabeça traseiro, Pára-choques na cor do veículo Informações complementares: Licenciado",SEMINOVOS,AUTOMOVEL,\0,2019,2020,4,59800,2021-07-23 16:05:46
494453,Ford,Ka,Ka 1.0 SE (Flex),"LINDO Outros opcionais: Encosto de cabeça traseiro, Pára-choques na cor do veículo Informações complementares: Licenciado",SEMINOVOS,AUTOMOVEL,\0,2017,2018,4,44800,2021-07-23 16:05:45
494452,Ford,Focus Sedan,Focus Sedan SE 2.0 PowerShift,"LINDO Outros opcionais: Encosto de cabeça traseiro, Farol xenônio, Banco bi-partido, Controle de estabilidade, Pára-choques na cor do veículo Informações complementares: Licenciado",USADOS,AUTOMOVEL,\0,2016,2016,4,56800,2021-07-23 16:05:44
494451,Fiat,Ducato,Ducato 2.3 TDI 15L Minibus,novo Informações complementares: Licenciado,USADOS,AUTOMOVEL,\0,2013,2014,3,87800,2021-07-23 16:05:44
494450,Fiat,Punto,Punto Essence 1.6 16V (Flex),"Outros opcionais: Banco bi-partido, Pára-choques na cor do veículo Informações complementares: Licenciado",USADOS,AUTOMOVEL,\0,2014,2015,4,38800,2021-07-23 16:05:43
494449,Audi,A4,A4 1.8 TFSI Attraction Multitronic,"linda novissima Outros opcionais: Comando de áudio e telefone no volante, Controle de estabilidade, Pára-choques na cor do veículo Informações complementares: Licenciado",USADOS,AUTOMOVEL,\0,2015,2015,4,82800,2021-07-23 16:05:42
494448,Volkswagen,Voyage,Voyage 1.6 MSI Trendline (Flex),"novo Outros opcionais: Encosto de cabeça traseiro, Pára-choques na cor do veículo Informações complementares: Licenciado",USADOS,AUTOMOVEL,\0,2016,2017,4,43800,2021-07-23 16:05:41
494447,Fiat,Palio Weekend,Palio Weekend Adventure Locker 1.8 8V (Flex),"Outros opcionais: Encosto de cabeça traseiro, Banco bi-partido, Pára-choques na cor do veículo Informações complementares: Licenciado",USADOS,AUTOMOVEL,\0,2009,2010,4,29800,2021-07-23 16:05:41
494446,Mitsubishi,Pajero Sport,Pajero Sport HPE 4x4 3.5 (aut),"Outros opcionais: Encosto de cabeça traseiro, Porta-copos, Assistente de Partida em Rampa, Banco bi-partido, Pára-choques na cor do veículo Informações complementares: IPVA pago, Licenciado",USADOS,AUTOMOVEL,\0,2007,2007,4,37800,2021-07-23 16:05:40
494445,Fiat,Argo,Argo 1.0 Drive,NOVO Outros opcionais: Pára-choques na cor do veículo Informações complementares: Licenciado,SEMINOVOS,AUTOMOVEL,\0,2019,2020,4,53800,2021-07-23 16:05:39
494444,Audi,A3,A3 2.0 TFSI Sportback S Tronic,"LINDO Outros opcionais: Farol xenônio, Comando de áudio e telefone no volante, Pára-choques na cor do veículo Informações complementares: Licenciado",USADOS,AUTOMOVEL,\0,2011,2011,4,58800,2021-07-23 16:05:39
494443,Porsche,Cayenne,Cayenne 4.8 V8 S 4WD,blindado nivel 3 a  Informações complementares: Licenciado,USADOS,AUTOMOVEL,\0,2008,2008,4,70800,2021-07-23 16:05:38
494442,Fiat,Punto,Punto Attractive 1.4 (Flex),"Outros opcionais: Banco bi-partido, Pára-choques na cor do veículo Informações complementares: Licenciado",USADOS,AUTOMOVEL,\0,2015,2015,4,34800,2021-07-23 16:05:37
494441,Chevrolet,Prisma,Prisma 1.4 LT SPE/4,Outros opcionais: Pára-choques na cor do veículo Informações complementares: Licenciado,USADOS,AUTOMOVEL,\0,2013,2013,4,38800,2021-07-23 16:05:36
